Found New SMILES: 800
Improvement:1.76954031214 | Similarity: 0.280701754386
New y(m): -0.735505362313 | Old y(m): -2.50504567445
New SMILES: COc1cc(O)cc2c1C=CC2 | Old: COc1cc2c(cc1OC)CC([NH3+])C2

Improvement:3.54199896723 | Similarity: 0.274193548387
New y(m): -2.39528002295 | Old y(m): -5.93727899018
New SMILES: CC1CCN(C(=O)C(N)=O)CC1 | Old: C[C@@H]1CC[C@@H](C(N)=O)CN1C(=O)c1nnn[n-]1

Improvement:3.18391349327 | Similarity: 0.30487804878
New y(m): -4.47774578349 | Old y(m): -7.66165927676
New SMILES: CC[NH+]1C[C@@H](CNCc2ccc(S(N)(=O)=O)cc2)C[C@H]1C | Old: CC[NH+]1CC[C@@H](CNCc2ccc([O-])c[nH+]2)C1

Improvement:1.34389028926 | Similarity: 0.230769230769
New y(m): -1.10968912817 | Old y(m): -2.45357941743
New SMILES: FC(F)C(Br)Br | Old: OC[C@@H](Br)C(F)(F)Br

Improvement:1.96323155711 | Similarity: 0.237288135593
New y(m): -0.550995684748 | Old y(m): -2.51422724186
New SMILES: CNC(=O)/C(=C(\C)C(=O)Nc1ccc2c(c1)OC[C@@](C)(C#N)O2)c1ccccc1 | Old: CNC(=O)/C(C#N)=C(/[O-])C1=NN(c2cc(C)ccc2C)C(=O)CC1

Improvement:0.18318384233 | Similarity: 0.376811594203
New y(m): -2.53674426396 | Old y(m): -2.71992810629
New SMILES: C[NH+](C)CCSC1CC(C)(C)C(C#N)C(C)(C)C1 | Old: C[NH+](C)CCS[C@@H]1C[C@H](C(C)(C)C)CC[C@@H]1C#N

Improvement:-0.692996237995 | Similarity: 0.223776223776
New y(m): -5.32480193442 | Old y(m): -4.63180569642
New SMILES: COc1ccc(C(=O)N(C)c2nc(N3CCOCC3)cc(N3CC[NH2+][C@H]([NH3+])C3)n2)cc1 | Old: CN(c1ncnc(N2CCN(c3cccc[nH+]3)CC2)c1[N+](=O)[O-])C1CC[NH+](C)CC1

Improvement:4.68364803338 | Similarity: 0.219858156028
New y(m): -0.511023274854 | Old y(m): -5.19467130823
New SMILES: COc1cc(C(=O)N2C[C@@H](NCc3ccc4c(c3)CCC4)CC2=O)cc(OC)c1[N+](=O)[O-] | Old: COc1cc(C[NH+]2CC[C@@H]([NH+]3CCCC3)C2)ccc1OCC(=O)N1CCCC1

