/home/shinhwan/.local/lib/python2.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:70: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:68: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
Model #Params: 5110K
...Finish Making Plot Folder...
EPOCH: 1 | TIME: 2020-03-08 22:34:13.822932 
[0][20] KL: 204.6, Word: 18.49, Topo: 72.44, Assm: 53.59, Steo: 42.25
[0][40] KL: 218.5, Word: 25.13, Topo: 85.69, Assm: 59.16, Steo: 39.50
[0][60] KL: 249.7, Word: 32.00, Topo: 89.44, Assm: 60.78, Steo: 44.67
[0][80] KL: 236.8, Word: 39.63, Topo: 89.93, Assm: 59.80, Steo: 45.50
[0][100] KL: 229.2, Word: 44.86, Topo: 91.34, Assm: 60.38, Steo: 49.50
[0][120] KL: 242.2, Word: 49.55, Topo: 91.69, Assm: 62.31, Steo: 38.25
[0][140] KL: 239.8, Word: 53.51, Topo: 91.98, Assm: 59.58, Steo: 66.25
[0][160] KL: 247.2, Word: 55.78, Topo: 92.93, Assm: 62.26, Steo: 35.17
[0][180] KL: 275.6, Word: 56.94, Topo: 93.25, Assm: 61.55, Steo: 49.96
[0][200] KL: 230.4, Word: 59.72, Topo: 93.16, Assm: 62.51, Steo: 49.33
[0][220] KL: 239.3, Word: 60.32, Topo: 92.62, Assm: 62.00, Steo: 49.58
[0][240] KL: 263.2, Word: 61.39, Topo: 93.16, Assm: 62.26, Steo: 46.25
[0][260] KL: 264.7, Word: 63.29, Topo: 93.35, Assm: 63.24, Steo: 67.25
[0][280] KL: 271.6, Word: 64.21, Topo: 93.24, Assm: 63.98, Steo: 68.25
[0][300] KL: 272.4, Word: 64.82, Topo: 94.01, Assm: 63.57, Steo: 66.12
[0][320] KL: 339.2, Word: 65.43, Topo: 94.07, Assm: 63.80, Steo: 95.00
[0][340] KL: 321.1, Word: 67.10, Topo: 94.11, Assm: 64.19, Steo: 100.00
[0][360] KL: 347.8, Word: 67.74, Topo: 94.16, Assm: 64.39, Steo: 100.00
[0][380] KL: 330.7, Word: 67.54, Topo: 94.32, Assm: 63.16, Steo: 100.00
[0][400] KL: 357.5, Word: 68.81, Topo: 94.53, Assm: 64.31, Steo: 98.33
[0][420] KL: 375.4, Word: 69.19, Topo: 94.74, Assm: 65.86, Steo: 97.50
[0][440] KL: 346.8, Word: 69.56, Topo: 94.40, Assm: 65.29, Steo: 98.75
[0][460] KL: 400.9, Word: 71.27, Topo: 94.36, Assm: 65.64, Steo: 96.25
[0][480] KL: 404.4, Word: 71.68, Topo: 95.07, Assm: 68.26, Steo: 98.75
[0][500] KL: 390.8, Word: 70.62, Topo: 94.92, Assm: 67.15, Steo: 99.29
[0][520] KL: 405.7, Word: 73.22, Topo: 95.45, Assm: 68.95, Steo: 100.00
[0][540] KL: 405.7, Word: 72.68, Topo: 95.14, Assm: 68.51, Steo: 100.00
[0][560] KL: 434.6, Word: 73.08, Topo: 95.62, Assm: 67.45, Steo: 99.00
[0][580] KL: 441.1, Word: 73.52, Topo: 95.72, Assm: 70.51, Steo: 99.29
[0][600] KL: 443.1, Word: 72.86, Topo: 95.44, Assm: 70.02, Steo: 97.50
[0][620] KL: 451.0, Word: 73.30, Topo: 95.61, Assm: 71.01, Steo: 100.00
[0][640] KL: 459.1, Word: 73.89, Topo: 95.68, Assm: 72.06, Steo: 100.00
[0][660] KL: 485.2, Word: 74.40, Topo: 96.10, Assm: 73.47, Steo: 100.00
[0][680] KL: 446.7, Word: 74.54, Topo: 95.94, Assm: 72.18, Steo: 98.75
[0][700] KL: 461.7, Word: 74.81, Topo: 96.05, Assm: 73.93, Steo: 100.00
[0][720] KL: 463.3, Word: 74.96, Topo: 96.12, Assm: 73.50, Steo: 98.33
[0][740] KL: 484.3, Word: 75.34, Topo: 95.89, Assm: 73.88, Steo: 97.50
[0][760] KL: 495.3, Word: 75.06, Topo: 96.05, Assm: 74.65, Steo: 100.00
[0][780] KL: 481.1, Word: 76.33, Topo: 96.26, Assm: 75.23, Steo: 100.00
[0][800] KL: 495.5, Word: 75.76, Topo: 95.98, Assm: 76.56, Steo: 100.00
[0][820] KL: 487.8, Word: 76.22, Topo: 96.13, Assm: 74.90, Steo: 100.00
[0][840] KL: 494.6, Word: 76.74, Topo: 96.24, Assm: 77.06, Steo: 100.00
[0][860] KL: 458.0, Word: 76.82, Topo: 96.43, Assm: 76.23, Steo: 100.00
[0][880] KL: 530.9, Word: 77.40, Topo: 96.35, Assm: 75.80, Steo: 100.00
[0][900] KL: 504.8, Word: 76.93, Topo: 96.30, Assm: 77.64, Steo: 100.00
[0][920] KL: 546.9, Word: 77.96, Topo: 96.24, Assm: 76.68, Steo: 100.00
[0][940] KL: 571.8, Word: 77.73, Topo: 96.50, Assm: 77.75, Steo: 100.00
[0][960] KL: 530.9, Word: 77.67, Topo: 96.32, Assm: 78.83, Steo: 100.00
[0][980] KL: 555.4, Word: 78.02, Topo: 96.32, Assm: 78.58, Steo: 100.00
[0][1000] KL: 591.3, Word: 78.70, Topo: 96.71, Assm: 78.52, Steo: 100.00
